Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/80/13,"50.1618319, -5.638459"
HL/PO/JO/10/1/80/14,"39.2940417, -9.1628266"
HL/PO/JO/10/1/80/15,"50.118798, -5.537592"
HL/PO/JO/10/1/80/17,"50.194003, -5.416462"
HL/PO/JO/10/1/80/18,"50.233022, -5.226666"
HL/PO/JO/10/1/80/19,"50.167679, -5.427406"
HL/PO/JO/10/1/80/20,"50.130287, -5.418129"
HL/PO/JO/10/1/80/21,"50.2152089, -5.4777498"
HL/PO/JO/10/1/80/22,"50.124487, -5.679195"
HL/PO/JO/10/1/80/23,"50.107815, -5.611154"
HL/PO/JO/10/1/80/24,"50.071338, -5.69498"
HL/PO/JO/10/1/80/25,"50.192233, -5.522443"
HL/PO/JO/10/1/80/26,"50.190122, -5.56496"
HL/PO/JO/10/1/80/27,"50.602393, -4.668287"
HL/PO/JO/10/1/80/28,"50.606127, -4.512319"
HL/PO/JO/10/1/80/29,"50.656826, -4.617132"
HL/PO/JO/10/1/80/30,"50.6858337, -4.6973747"
HL/PO/JO/10/1/80/31,"50.3456256, -4.6165422"
HL/PO/JO/10/1/80/32,"50.683586, -4.650009"
HL/PO/JO/10/1/80/34,"50.5811179, -4.713354"
HL/PO/JO/10/1/80/35,"51.4211991, 0.7976003"
HL/PO/JO/10/1/80/36,"50.685594, -4.597825"
HL/PO/JO/10/1/80/37,"50.767628, -4.551833"
HL/PO/JO/10/1/80/38,"50.63288, -4.540336"
HL/PO/JO/10/1/80/39,"33.9909208, -81.1218409"
HL/PO/JO/10/1/80/40,"50.698636, -4.655191"
HL/PO/JO/10/1/80/41,"50.66301, -4.75066"
HL/PO/JO/10/1/80/42,"50.6622709, -4.539067"
HL/PO/JO/10/1/80/43,"50.677076, -4.715085"
HL/PO/JO/10/1/79/40,"50.046162, -5.249872"
HL/PO/JO/10/1/79/41,"50.115124, -5.378467"
HL/PO/JO/10/1/79/42,"37.774817, -7.836572"
HL/PO/JO/10/1/79/43,"50.055223, -5.277055"
HL/PO/JO/10/1/79/44,"50.217312, -5.173211"
HL/PO/JO/10/1/79/45,"50.101593, -5.274996"
HL/PO/JO/10/1/79/46,"49.969541, -5.194371"
HL/PO/JO/10/1/79/47,"27.516667, 86.766667"
HL/PO/JO/10/1/79/48,"50.08228, -5.128725"
HL/PO/JO/10/1/79/49,"50.0719699, -5.2038383"
HL/PO/JO/10/1/79/50,"50.105263, -5.096071"
HL/PO/JO/10/1/79/51,"50.027991, -5.240468"
HL/PO/JO/10/1/79/52,"50.177118, -5.058071"
HL/PO/JO/10/1/79/53,"50.169173, -5.107088"
HL/PO/JO/10/1/79/54,"50.2114653, -5.1183705"
HL/PO/JO/10/1/79/55,"50.004439, -5.215018"
HL/PO/JO/10/1/79/56,"49.993555, -5.181832"
HL/PO/JO/10/1/79/57,"50.090015, -5.101744"
HL/PO/JO/10/1/79/58,"50.050226, -5.0884919"
HL/PO/JO/10/1/79/59,"50.0721735, -5.1671906"
HL/PO/JO/10/1/79/60,"50.110512, -5.308118"
HL/PO/JO/10/1/79/62,"50.133233, -5.250158"
HL/PO/JO/10/1/80/1,"50.076007, -5.626154"
HL/PO/JO/10/1/80/2,"50.21277, -5.2947749"
HL/PO/JO/10/1/80/3,"50.162291, -5.2958619"
HL/PO/JO/10/1/80/4,"50.132605, -5.523923"
