Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL
HL/PO/JO/10/1/78/28,Protestation Return - Buckinghamshire - Buckingham Hundred - Westbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/29,Protestation Return - Buckinghamshire - Cotteslow Hundred - Aston Abbots.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/30,Protestation Return - Buckinghamshire - Cotteslow Hundred - Cheddington.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/31,Protestation Return - Buckinghamshire - Cotteslow Hundred - Choulesbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/32,Protestation Return - Buckinghamshire - Cotteslow Hundred - Cotteslow (hundred).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/33,Protestation Return - Buckinghamshire - Cotteslow Hundred - Cublington.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/34,Protestation Return - Buckinghamshire - Cotteslow Hundred - Drayton Beauchamp.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/35,Protestation Return - Buckinghamshire - Cotteslow Hundred - Drayton Parslow.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/36,Protestation Return - Buckinghamshire - Cotteslow Hundred - Dunton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/37,Protestation Return - Buckinghamshire - Cotteslow Hundred - Edlesborough.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/38,Protestation Return - Buckinghamshire - Cotteslow Hundred - Grove.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/39,Protestation Return - Buckinghamshire - Cotteslow Hundred - Hardwick and Weedon.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/40,Protestation Return - Buckinghamshire - Cotteslow Hundred - Hoggeston.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/41,"Protestation Return - Buckinghamshire - Cotteslow Hundred - Horwood, Great.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/42,"Protestation Return - Buckinghamshire - Cotteslow Hundred - Horwood, Little.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/43,Protestation Return - Buckinghamshire - Cotteslow Hundred - Ivinghoe.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/44,Protestation Return - Buckinghamshire - Cotteslow Hundred - Linslade.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/45,Protestation Return - Buckinghamshire - Cotteslow Hundred - Marsworth cum Hawridge.,1642,Protestation Returns,,,,,
