HL/PO/JO/10/1/80/23,"50.10808, -5.61002"
HL/PO/JO/10/1/80/24,"50.07053, -5.69534"
HL/PO/JO/10/1/80/25,"50.19076, -5.52073"
HL/PO/JO/10/1/80/26,"50.19168, -5.56775"
HL/PO/JO/10/1/80/27,
HL/PO/JO/10/1/80/28,"50.603512, -4.51147"
HL/PO/JO/10/1/80/29,"50.65554, -4.61648"
HL/PO/JO/10/1/80/30,"50.68539, -4.69851"
HL/PO/JO/10/1/80/31,"50.60961, -4.70132"
HL/PO/JO/10/1/80/32,"50.684222, -4.66449"
HL/PO/JO/10/1/80/33,"50.684222, -4.66449"
HL/PO/JO/10/1/80/34,"50.57825, -4.71258"
HL/PO/JO/10/1/80/35,
HL/PO/JO/10/1/80/36,"50.68781, -4.59614"
HL/PO/JO/10/1/80/37,"50.76719, -4.55047"
HL/PO/JO/10/1/80/38,"50.63409, -4.52923"
HL/PO/JO/10/1/80/39,"50.743938, -4.62489"
HL/PO/JO/10/1/80/40,"50.7006, -4.6733"
HL/PO/JO/10/1/80/41,"50.664749, -4.7424"
HL/PO/JO/10/1/80/42,
HL/PO/JO/10/1/80/43,"50.67808, -4.71707"
HL/PO/JO/10/1/81/29,"50.74986, -4.3945"
HL/PO/JO/10/1/81/30,"50.86412, -3.62692"
HL/PO/JO/10/1/81/31,
HL/PO/JO/10/1/81/32,"52.735512, 1.28039"
HL/PO/JO/10/1/81/33,"50.74751, -4.50023"
HL/PO/JO/10/1/81/34,"50.75713, -4.45842"
HL/PO/JO/10/1/81/35,"50.52801, -4.68207"
HL/PO/JO/10/1/81/36,"50.47125, -4.71741"
HL/PO/JO/10/1/81/37,"50.55949, -4.69065"
HL/PO/JO/10/1/81/38,"50.51272, -4.81734"
HL/PO/JO/10/1/81/39,
HL/PO/JO/10/1/81/40,
HL/PO/JO/10/1/81/41,"50.57302, -4.82983"
HL/PO/JO/10/1/81/42,"50.55838, -4.79218"
HL/PO/JO/10/1/81/43,"50.52576, -4.75893"
HL/PO/JO/10/1/81/44,"50.59321, -4.73605"
HL/PO/JO/10/1/81/45,"50.55526, -4.7271"
HL/PO/JO/10/1/81/46,
HL/PO/JO/10/1/81/47,"50.4162, -4.60682"
HL/PO/JO/10/1/81/48,"51.81565, -2.43722"
HL/PO/JO/10/1/81/49,"50.48879, -4.64791"
HL/PO/JO/10/1/81/50,"50.3963, -4.4846"
HL/PO/JO/10/1/81/51,
HL/PO/JO/10/1/81/52,"50.38414, -4.55981"
HL/PO/JO/10/1/81/53,"51.916672, -2.93333"
HL/PO/JO/10/1/81/54,"50.33461, -4.644405"
HL/PO/JO/10/1/81/55,"50.45382, -4.46607"
HL/PO/JO/10/1/81/56,
HL/PO/JO/10/1/81/57,"50.36792, -4.52759"
HL/PO/JO/10/1/81/58,"50.48645, -4.47168"
HL/PO/JO/10/1/81/59,"50.42297, -4.47741"
HL/PO/JO/10/1/81/60,"50.44139, -4.53604"
HL/PO/JO/10/1/81/61,"50.36556, -4.61741"
HL/PO/JO/10/1/81/62,"50.38353, -4.65177"
HL/PO/JO/10/1/81/63,"50.33326, -4.5154"
HL/PO/JO/10/1/81/64,"50.491901, -4.59946"
HL/PO/JO/10/1/82/1,
HL/PO/JO/10/1/82/2,"52.30098, -2.44482"
HL/PO/JO/10/1/82/3,"53.45583, -2.98639"
HL/PO/JO/10/1/82/4,
HL/PO/JO/10/1/82/5,"56.133413, -3.206555"
HL/PO/JO/10/1/82/6,"54.50784, -3.52089"
HL/PO/JO/10/1/82/7,"54.6637, -3.36493"
HL/PO/JO/10/1/82/8,"54.3098, -3.36495"
HL/PO/JO/10/1/82/9,"55.95232, -3.21659"
