Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL,target,NominatimLL,YahooLL
HL/PO/JO/10/1/86/51,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Pancras.",1642,Protestation Returns,,,,,,"Exeter, St Pancras","50.7237575, -3.53251831504421",<null>
HL/PO/JO/10/1/86/52,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Paul's.",1642,Protestation Returns,,,,,,"Exeter, St Paul's","50.62509655, -3.44932836519727",<null>
HL/PO/JO/10/1/86/53,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Peter's [Cathedral].",1642,Protestation Returns,,,,,,"Exeter, St Peter's ","50.63027565, -3.32671294541488",<null>
HL/PO/JO/10/1/86/54,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Petrox.",1642,Protestation Returns,,,,,,"Exeter, St Petrox",<null>,<null>
HL/PO/JO/10/1/86/55,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Sidwell's.",1642,Protestation Returns,,,,,,"Exeter, St Sidwell's","50.7295153, -3.5240674",<null>
HL/PO/JO/10/1/86/56,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Stephens.",1642,Protestation Returns,,,,,,"Exeter, St Stephens","50.724204, -3.5298249",<null>
HL/PO/JO/10/1/86/57,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Trinity.",1642,Protestation Returns,,,,,,"Exeter, St Trinity","50.8416151, -3.4296588",<null>
HL/PO/JO/10/1/86/58,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, The whole of the parishes.",1642,Protestation Returns,,,,,,"Exeter, The whole of the parishes",<null>,<null>
HL/PO/JO/10/1/86/59,Protestation Return - Devon - Wonford (Part Only) Hundred - Gidleigh.,1642,Protestation Returns,,,,,,Gidleigh,"50.679842, -3.8823956",<null>
HL/PO/JO/10/1/86/60,Protestation Return - Devon - Wonford (Part Only) Hundred - Heavitree.,1642,Protestation Returns,,,,,,Heavitree,"50.722192, -3.5028547",<null>
HL/PO/JO/10/1/86/61,Protestation Return - Devon - Wonford (Part Only) Hundred - Hittisleigh.,1642,Protestation Returns,,,,,,Hittisleigh,"50.741521, -3.7982768",<null>
HL/PO/JO/10/1/86/62,Protestation Return - Devon - Wonford (Part Only) Hundred - Holcombe Burnell.,1642,Protestation Returns,,,,,,Holcombe Burnell,"50.70745685, -3.6119250795709",<null>
HL/PO/JO/10/1/86/63,Protestation Return - Devon - Wonford (Part Only) Hundred - Huxham.,1642,Protestation Returns,,,,,,Huxham,"50.7701018, -3.4956131",<null>
HL/PO/JO/10/1/86/64,Protestation Return - Devon - Wonford (Part Only) Hundred - Pinhoe.,1642,Protestation Returns,,,,,,Pinhoe,"50.7378038, -3.4700473",<null>
HL/PO/JO/10/1/86/65,Protestation Return - Devon - Wonford (Part Only) Hundred - Poltimore.,1642,Protestation Returns,,,,,,Poltimore,"50.7624066, -3.4672206",<null>
HL/PO/JO/10/1/86/66,Protestation Return - Devon - Wonford (Part Only) Hundred - Rewe.,1642,Protestation Returns,,,,,,Rewe,"50.7838158, -3.4963942",<null>
HL/PO/JO/10/1/86/67,Protestation Return - Devon - Wonford (Part Only) Hundred - St Leonard.,1642,Protestation Returns,,,,,,St Leonard,"51.0928014, -2.4686924",<null>
HL/PO/JO/10/1/86/68,Protestation Return - Devon - Wonford (Part Only) Hundred - St Thomas - the - Apostle.,1642,Protestation Returns,,,,,,Apostle,"53.4994377, -1.169768",<null>
HL/PO/JO/10/1/86/69,Protestation Return - Devon - Wonford (Part Only) Hundred - South Tawton.,1642,Protestation Returns,,,,,,South Tawton,"50.7339333, -3.9090765",<null>
HL/PO/JO/10/1/86/70,Protestation Return - Devon - Wonford (Part Only) Hundred - Sowton.,1642,Protestation Returns,,,,,,Sowton,"50.6798052, -3.6508065",<null>
HL/PO/JO/10/1/86/71,Protestation Return - Devon - Wonford (Part Only) Hundred - Spreyton.,1642,Protestation Returns,,,,,,Spreyton,"50.7554175, -3.8430541",<null>
HL/PO/JO/10/1/86/72,Protestation Return - Devon - Wonford (Part Only) Hundred - Stoke Canon.,1642,Protestation Returns,,,,,,Stoke Canon,"50.7712893, -3.5068984",<null>
HL/PO/JO/10/1/86/73,Protestation Return - Devon - Wonford (Part Only) Hundred - Tedburn.,1642,Protestation Returns,,,,,,Tedburn,"50.765149, -3.6719174",<null>
HL/PO/JO/10/1/86/74,Protestation Return - Devon - Wonford (Part Only) Hundred - Throwleigh.,1642,Protestation Returns,,,,,,Throwleigh,"50.7012836, -3.8872482",<null>
HL/PO/JO/10/1/86/75,Protestation Return - Devon - Wonford (Part Only) Hundred - Topsham.,1642,Protestation Returns,,,,,,Topsham,"50.6850732, -3.4658063",<null>
HL/PO/JO/10/1/86/76,Protestation Return - Devon - Wonford (Part Only) Hundred - Upton Pine.,1642,Protestation Returns,,,,,,Upton Pine,"51.219246, -0.991203985532296",<null>
HL/PO/JO/10/1/86/77,Protestation Return - Devon - Wonford (Part Only) Hundred - Whitstone.,1642,Protestation Returns,,,,,,Whitstone,"50.7618158, -4.4637319",<null>
HL/PO/JO/10/1/86/78,Protestation Return - Devon - Wonford (Part Only) Hundred - Wonford.,1642,Protestation Returns,,,,,,Wonford,"50.8637959, -4.3148533",<null>
HL/PO/JO/10/1/86/79,Protestation Return - Devon - Lifton Hundred - Bradstone.,1642,Protestation Returns,,,,,,Bradstone,"50.6050569, -4.2895021",<null>
HL/PO/JO/10/1/86/80,Protestation Return - Devon - Lifton Hundred - Bratton Clovelly.,1642,Protestation Returns,,,,,,Bratton Clovelly,"50.704808, -4.1760561",<null>
HL/PO/JO/10/1/86/81,Protestation Return - Devon - Lifton Hundred - Bridestowe.,1642,Protestation Returns,,,,,,Bridestowe,"50.6861266, -4.1038681",<null>
HL/PO/JO/10/1/86/82,Protestation Return - Devon - Lifton Hundred - Broadwood - Widger.,1642,Protestation Returns,,,,,,Widger,<null>,<null>
HL/PO/JO/10/1/86/83,Protestation Return - Devon - Lifton Hundred - Dunterton.,1642,Protestation Returns,,,,,,Dunterton,"50.5905647, -4.2931928",<null>
HL/PO/JO/10/1/86/84,Protestation Return - Devon - Lifton Hundred - Germasweek.,1642,Protestation Returns,,,,,,Germasweek,<null>,<null>
